text,number,input_seq,target,input_seq_padded
eight hundred and forty nine,849,"[8, 100, 0, 40, 9]",849.0,"[8, 100, 0, 40, 9, 0, 0]"
eight hundred and fifty,850,"[8, 100, 0, 50]",850.0,"[8, 100, 0, 50, 0, 0, 0]"
eight hundred and fifty one,851,"[8, 100, 0, 50, 1]",851.0,"[8, 100, 0, 50, 1, 0, 0]"
eight hundred and fifty two,852,"[8, 100, 0, 50, 2]",852.0,"[8, 100, 0, 50, 2, 0, 0]"
eight hundred and fifty three,853,"[8, 100, 0, 50, 3]",853.0,"[8, 100, 0, 50, 3, 0, 0]"
eight hundred and fifty four,854,"[8, 100, 0, 50, 4]",854.0,"[8, 100, 0, 50, 4, 0, 0]"
eight hundred and fifty five,855,"[8, 100, 0, 50, 5]",855.0,"[8, 100, 0, 50, 5, 0, 0]"
eight hundred and fifty six,856,"[8, 100, 0, 50, 6]",856.0,"[8, 100, 0, 50, 6, 0, 0]"
eight hundred and fifty seven,857,"[8, 100, 0, 50, 7]",857.0,"[8, 100, 0, 50, 7, 0, 0]"
eight hundred and fifty eight,858,"[8, 100, 0, 50, 8]",858.0,"[8, 100, 0, 50, 8, 0, 0]"
eight hundred and fifty nine,859,"[8, 100, 0, 50, 9]",859.0,"[8, 100, 0, 50, 9, 0, 0]"
eight hundred and sixty,860,"[8, 100, 0, 60]",860.0,"[8, 100, 0, 60, 0, 0, 0]"
eight hundred and sixty one,861,"[8, 100, 0, 60, 1]",861.0,"[8, 100, 0, 60, 1, 0, 0]"
eight hundred and sixty two,862,"[8, 100, 0, 60, 2]",862.0,"[8, 100, 0, 60, 2, 0, 0]"
eight hundred and sixty three,863,"[8, 100, 0, 60, 3]",863.0,"[8, 100, 0, 60, 3, 0, 0]"
eight hundred and sixty four,864,"[8, 100, 0, 60, 4]",864.0,"[8, 100, 0, 60, 4, 0, 0]"
eight hundred and sixty five,865,"[8, 100, 0, 60, 5]",865.0,"[8, 100, 0, 60, 5, 0, 0]"
eight hundred and sixty six,866,"[8, 100, 0, 60, 6]",866.0,"[8, 100, 0, 60, 6, 0, 0]"
eight hundred and sixty seven,867,"[8, 100, 0, 60, 7]",867.0,"[8, 100, 0, 60, 7, 0, 0]"
eight hundred and sixty eight,868,"[8, 100, 0, 60, 8]",868.0,"[8, 100, 0, 60, 8, 0, 0]"
eight hundred and sixty nine,869,"[8, 100, 0, 60, 9]",869.0,"[8, 100, 0, 60, 9, 0, 0]"
eight hundred and seventy,870,"[8, 100, 0, 70]",870.0,"[8, 100, 0, 70, 0, 0, 0]"
eight hundred and seventy one,871,"[8, 100, 0, 70, 1]",871.0,"[8, 100, 0, 70, 1, 0, 0]"
eight hundred and seventy two,872,"[8, 100, 0, 70, 2]",872.0,"[8, 100, 0, 70, 2, 0, 0]"
eight hundred and seventy three,873,"[8, 100, 0, 70, 3]",873.0,"[8, 100, 0, 70, 3, 0, 0]"
eight hundred and seventy four,874,"[8, 100, 0, 70, 4]",874.0,"[8, 100, 0, 70, 4, 0, 0]"
eight hundred and seventy five,875,"[8, 100, 0, 70, 5]",875.0,"[8, 100, 0, 70, 5, 0, 0]"
eight hundred and seventy six,876,"[8, 100, 0, 70, 6]",876.0,"[8, 100, 0, 70, 6, 0, 0]"
eight hundred and seventy seven,877,"[8, 100, 0, 70, 7]",877.0,"[8, 100, 0, 70, 7, 0, 0]"
eight hundred and seventy eight,878,"[8, 100, 0, 70, 8]",878.0,"[8, 100, 0, 70, 8, 0, 0]"
eight hundred and seventy nine,879,"[8, 100, 0, 70, 9]",879.0,"[8, 100, 0, 70, 9, 0, 0]"
eight hundred and eighty,880,"[8, 100, 0, 80]",880.0,"[8, 100, 0, 80, 0, 0, 0]"
eight hundred and eighty one,881,"[8, 100, 0, 80, 1]",881.0,"[8, 100, 0, 80, 1, 0, 0]"
eight hundred and eighty two,882,"[8, 100, 0, 80, 2]",882.0,"[8, 100, 0, 80, 2, 0, 0]"
eight hundred and eighty three,883,"[8, 100, 0, 80, 3]",883.0,"[8, 100, 0, 80, 3, 0, 0]"
eight hundred and eighty four,884,"[8, 100, 0, 80, 4]",884.0,"[8, 100, 0, 80, 4, 0, 0]"
eight hundred and eighty five,885,"[8, 100, 0, 80, 5]",885.0,"[8, 100, 0, 80, 5, 0, 0]"
eight hundred and eighty six,886,"[8, 100, 0, 80, 6]",886.0,"[8, 100, 0, 80, 6, 0, 0]"
eight hundred and eighty seven,887,"[8, 100, 0, 80, 7]",887.0,"[8, 100, 0, 80, 7, 0, 0]"
eight hundred and eighty eight,888,"[8, 100, 0, 80, 8]",888.0,"[8, 100, 0, 80, 8, 0, 0]"
eight hundred and eighty nine,889,"[8, 100, 0, 80, 9]",889.0,"[8, 100, 0, 80, 9, 0, 0]"
eight hundred and ninety,890,"[8, 100, 0, 90]",890.0,"[8, 100, 0, 90, 0, 0, 0]"
eight hundred and ninety one,891,"[8, 100, 0, 90, 1]",891.0,"[8, 100, 0, 90, 1, 0, 0]"
eight hundred and ninety two,892,"[8, 100, 0, 90, 2]",892.0,"[8, 100, 0, 90, 2, 0, 0]"
eight hundred and ninety three,893,"[8, 100, 0, 90, 3]",893.0,"[8, 100, 0, 90, 3, 0, 0]"
eight hundred and ninety four,894,"[8, 100, 0, 90, 4]",894.0,"[8, 100, 0, 90, 4, 0, 0]"
eight hundred and ninety five,895,"[8, 100, 0, 90, 5]",895.0,"[8, 100, 0, 90, 5, 0, 0]"
eight hundred and ninety six,896,"[8, 100, 0, 90, 6]",896.0,"[8, 100, 0, 90, 6, 0, 0]"
eight hundred and ninety seven,897,"[8, 100, 0, 90, 7]",897.0,"[8, 100, 0, 90, 7, 0, 0]"
eight hundred and ninety eight,898,"[8, 100, 0, 90, 8]",898.0,"[8, 100, 0, 90, 8, 0, 0]"
eight hundred and ninety nine,899,"[8, 100, 0, 90, 9]",899.0,"[8, 100, 0, 90, 9, 0, 0]"
nine hundred and,900,"[9, 100, 0]",900.0,"[9, 100, 0, 0, 0, 0, 0]"
nine hundred and one,901,"[9, 100, 0, 1]",901.0,"[9, 100, 0, 1, 0, 0, 0]"
nine hundred and two,902,"[9, 100, 0, 2]",902.0,"[9, 100, 0, 2, 0, 0, 0]"
nine hundred and three,903,"[9, 100, 0, 3]",903.0,"[9, 100, 0, 3, 0, 0, 0]"
nine hundred and four,904,"[9, 100, 0, 4]",904.0,"[9, 100, 0, 4, 0, 0, 0]"
nine hundred and five,905,"[9, 100, 0, 5]",905.0,"[9, 100, 0, 5, 0, 0, 0]"
nine hundred and six,906,"[9, 100, 0, 6]",906.0,"[9, 100, 0, 6, 0, 0, 0]"
nine hundred and seven,907,"[9, 100, 0, 7]",907.0,"[9, 100, 0, 7, 0, 0, 0]"
nine hundred and eight,908,"[9, 100, 0, 8]",908.0,"[9, 100, 0, 8, 0, 0, 0]"
nine hundred and nine,909,"[9, 100, 0, 9]",909.0,"[9, 100, 0, 9, 0, 0, 0]"
nine hundred and ten,910,"[9, 100, 0, 10]",910.0,"[9, 100, 0, 10, 0, 0, 0]"
nine hundred and eleven,911,"[9, 100, 0, 11]",911.0,"[9, 100, 0, 11, 0, 0, 0]"
nine hundred and twelve,912,"[9, 100, 0, 12]",912.0,"[9, 100, 0, 12, 0, 0, 0]"
nine hundred and thirteen,913,"[9, 100, 0, 13]",913.0,"[9, 100, 0, 13, 0, 0, 0]"
nine hundred and fourteen,914,"[9, 100, 0, 14]",914.0,"[9, 100, 0, 14, 0, 0, 0]"
nine hundred and fifteen,915,"[9, 100, 0, 15]",915.0,"[9, 100, 0, 15, 0, 0, 0]"
nine hundred and sixteen,916,"[9, 100, 0, 16]",916.0,"[9, 100, 0, 16, 0, 0, 0]"
nine hundred and seventeen,917,"[9, 100, 0, 17]",917.0,"[9, 100, 0, 17, 0, 0, 0]"
nine hundred and eighteen,918,"[9, 100, 0, 18]",918.0,"[9, 100, 0, 18, 0, 0, 0]"
nine hundred and nineteen,919,"[9, 100, 0, 19]",919.0,"[9, 100, 0, 19, 0, 0, 0]"
nine hundred and twenty,920,"[9, 100, 0, 20]",920.0,"[9, 100, 0, 20, 0, 0, 0]"
nine hundred and twenty one,921,"[9, 100, 0, 20, 1]",921.0,"[9, 100, 0, 20, 1, 0, 0]"
nine hundred and twenty two,922,"[9, 100, 0, 20, 2]",922.0,"[9, 100, 0, 20, 2, 0, 0]"
nine hundred and twenty three,923,"[9, 100, 0, 20, 3]",923.0,"[9, 100, 0, 20, 3, 0, 0]"
nine hundred and twenty four,924,"[9, 100, 0, 20, 4]",924.0,"[9, 100, 0, 20, 4, 0, 0]"
nine hundred and twenty five,925,"[9, 100, 0, 20, 5]",925.0,"[9, 100, 0, 20, 5, 0, 0]"
nine hundred and twenty six,926,"[9, 100, 0, 20, 6]",926.0,"[9, 100, 0, 20, 6, 0, 0]"
nine hundred and twenty seven,927,"[9, 100, 0, 20, 7]",927.0,"[9, 100, 0, 20, 7, 0, 0]"
nine hundred and twenty eight,928,"[9, 100, 0, 20, 8]",928.0,"[9, 100, 0, 20, 8, 0, 0]"
nine hundred and twenty nine,929,"[9, 100, 0, 20, 9]",929.0,"[9, 100, 0, 20, 9, 0, 0]"
nine hundred and thirty,930,"[9, 100, 0, 30]",930.0,"[9, 100, 0, 30, 0, 0, 0]"
nine hundred and thirty one,931,"[9, 100, 0, 30, 1]",931.0,"[9, 100, 0, 30, 1, 0, 0]"
nine hundred and thirty two,932,"[9, 100, 0, 30, 2]",932.0,"[9, 100, 0, 30, 2, 0, 0]"
nine hundred and thirty three,933,"[9, 100, 0, 30, 3]",933.0,"[9, 100, 0, 30, 3, 0, 0]"
nine hundred and thirty four,934,"[9, 100, 0, 30, 4]",934.0,"[9, 100, 0, 30, 4, 0, 0]"
nine hundred and thirty five,935,"[9, 100, 0, 30, 5]",935.0,"[9, 100, 0, 30, 5, 0, 0]"
nine hundred and thirty six,936,"[9, 100, 0, 30, 6]",936.0,"[9, 100, 0, 30, 6, 0, 0]"
nine hundred and thirty seven,937,"[9, 100, 0, 30, 7]",937.0,"[9, 100, 0, 30, 7, 0, 0]"
nine hundred and thirty eight,938,"[9, 100, 0, 30, 8]",938.0,"[9, 100, 0, 30, 8, 0, 0]"
nine hundred and thirty nine,939,"[9, 100, 0, 30, 9]",939.0,"[9, 100, 0, 30, 9, 0, 0]"
nine hundred and forty,940,"[9, 100, 0, 40]",940.0,"[9, 100, 0, 40, 0, 0, 0]"
nine hundred and forty one,941,"[9, 100, 0, 40, 1]",941.0,"[9, 100, 0, 40, 1, 0, 0]"
nine hundred and forty two,942,"[9, 100, 0, 40, 2]",942.0,"[9, 100, 0, 40, 2, 0, 0]"
nine hundred and forty three,943,"[9, 100, 0, 40, 3]",943.0,"[9, 100, 0, 40, 3, 0, 0]"
nine hundred and forty four,944,"[9, 100, 0, 40, 4]",944.0,"[9, 100, 0, 40, 4, 0, 0]"
nine hundred and forty five,945,"[9, 100, 0, 40, 5]",945.0,"[9, 100, 0, 40, 5, 0, 0]"
nine hundred and forty six,946,"[9, 100, 0, 40, 6]",946.0,"[9, 100, 0, 40, 6, 0, 0]"
nine hundred and forty seven,947,"[9, 100, 0, 40, 7]",947.0,"[9, 100, 0, 40, 7, 0, 0]"
nine hundred and forty eight,948,"[9, 100, 0, 40, 8]",948.0,"[9, 100, 0, 40, 8, 0, 0]"
nine hundred and forty nine,949,"[9, 100, 0, 40, 9]",949.0,"[9, 100, 0, 40, 9, 0, 0]"
nine hundred and fifty,950,"[9, 100, 0, 50]",950.0,"[9, 100, 0, 50, 0, 0, 0]"
nine hundred and fifty one,951,"[9, 100, 0, 50, 1]",951.0,"[9, 100, 0, 50, 1, 0, 0]"
nine hundred and fifty two,952,"[9, 100, 0, 50, 2]",952.0,"[9, 100, 0, 50, 2, 0, 0]"
nine hundred and fifty three,953,"[9, 100, 0, 50, 3]",953.0,"[9, 100, 0, 50, 3, 0, 0]"
nine hundred and fifty four,954,"[9, 100, 0, 50, 4]",954.0,"[9, 100, 0, 50, 4, 0, 0]"
nine hundred and fifty five,955,"[9, 100, 0, 50, 5]",955.0,"[9, 100, 0, 50, 5, 0, 0]"
nine hundred and fifty six,956,"[9, 100, 0, 50, 6]",956.0,"[9, 100, 0, 50, 6, 0, 0]"
nine hundred and fifty seven,957,"[9, 100, 0, 50, 7]",957.0,"[9, 100, 0, 50, 7, 0, 0]"
nine hundred and fifty eight,958,"[9, 100, 0, 50, 8]",958.0,"[9, 100, 0, 50, 8, 0, 0]"
nine hundred and fifty nine,959,"[9, 100, 0, 50, 9]",959.0,"[9, 100, 0, 50, 9, 0, 0]"
nine hundred and sixty,960,"[9, 100, 0, 60]",960.0,"[9, 100, 0, 60, 0, 0, 0]"
nine hundred and sixty one,961,"[9, 100, 0, 60, 1]",961.0,"[9, 100, 0, 60, 1, 0, 0]"
nine hundred and sixty two,962,"[9, 100, 0, 60, 2]",962.0,"[9, 100, 0, 60, 2, 0, 0]"
nine hundred and sixty three,963,"[9, 100, 0, 60, 3]",963.0,"[9, 100, 0, 60, 3, 0, 0]"
nine hundred and sixty four,964,"[9, 100, 0, 60, 4]",964.0,"[9, 100, 0, 60, 4, 0, 0]"
nine hundred and sixty five,965,"[9, 100, 0, 60, 5]",965.0,"[9, 100, 0, 60, 5, 0, 0]"
nine hundred and sixty six,966,"[9, 100, 0, 60, 6]",966.0,"[9, 100, 0, 60, 6, 0, 0]"
nine hundred and sixty seven,967,"[9, 100, 0, 60, 7]",967.0,"[9, 100, 0, 60, 7, 0, 0]"
nine hundred and sixty eight,968,"[9, 100, 0, 60, 8]",968.0,"[9, 100, 0, 60, 8, 0, 0]"
nine hundred and sixty nine,969,"[9, 100, 0, 60, 9]",969.0,"[9, 100, 0, 60, 9, 0, 0]"
nine hundred and seventy,970,"[9, 100, 0, 70]",970.0,"[9, 100, 0, 70, 0, 0, 0]"
nine hundred and seventy one,971,"[9, 100, 0, 70, 1]",971.0,"[9, 100, 0, 70, 1, 0, 0]"
nine hundred and seventy two,972,"[9, 100, 0, 70, 2]",972.0,"[9, 100, 0, 70, 2, 0, 0]"
nine hundred and seventy three,973,"[9, 100, 0, 70, 3]",973.0,"[9, 100, 0, 70, 3, 0, 0]"
nine hundred and seventy four,974,"[9, 100, 0, 70, 4]",974.0,"[9, 100, 0, 70, 4, 0, 0]"
nine hundred and seventy five,975,"[9, 100, 0, 70, 5]",975.0,"[9, 100, 0, 70, 5, 0, 0]"
nine hundred and seventy six,976,"[9, 100, 0, 70, 6]",976.0,"[9, 100, 0, 70, 6, 0, 0]"
nine hundred and seventy seven,977,"[9, 100, 0, 70, 7]",977.0,"[9, 100, 0, 70, 7, 0, 0]"
nine hundred and seventy eight,978,"[9, 100, 0, 70, 8]",978.0,"[9, 100, 0, 70, 8, 0, 0]"
nine hundred and seventy nine,979,"[9, 100, 0, 70, 9]",979.0,"[9, 100, 0, 70, 9, 0, 0]"
nine hundred and eighty,980,"[9, 100, 0, 80]",980.0,"[9, 100, 0, 80, 0, 0, 0]"
nine hundred and eighty one,981,"[9, 100, 0, 80, 1]",981.0,"[9, 100, 0, 80, 1, 0, 0]"
nine hundred and eighty two,982,"[9, 100, 0, 80, 2]",982.0,"[9, 100, 0, 80, 2, 0, 0]"
nine hundred and eighty three,983,"[9, 100, 0, 80, 3]",983.0,"[9, 100, 0, 80, 3, 0, 0]"
nine hundred and eighty four,984,"[9, 100, 0, 80, 4]",984.0,"[9, 100, 0, 80, 4, 0, 0]"
nine hundred and eighty five,985,"[9, 100, 0, 80, 5]",985.0,"[9, 100, 0, 80, 5, 0, 0]"
nine hundred and eighty six,986,"[9, 100, 0, 80, 6]",986.0,"[9, 100, 0, 80, 6, 0, 0]"
nine hundred and eighty seven,987,"[9, 100, 0, 80, 7]",987.0,"[9, 100, 0, 80, 7, 0, 0]"
nine hundred and eighty eight,988,"[9, 100, 0, 80, 8]",988.0,"[9, 100, 0, 80, 8, 0, 0]"
nine hundred and eighty nine,989,"[9, 100, 0, 80, 9]",989.0,"[9, 100, 0, 80, 9, 0, 0]"
nine hundred and ninety,990,"[9, 100, 0, 90]",990.0,"[9, 100, 0, 90, 0, 0, 0]"
nine hundred and ninety one,991,"[9, 100, 0, 90, 1]",991.0,"[9, 100, 0, 90, 1, 0, 0]"
nine hundred and ninety two,992,"[9, 100, 0, 90, 2]",992.0,"[9, 100, 0, 90, 2, 0, 0]"
nine hundred and ninety three,993,"[9, 100, 0, 90, 3]",993.0,"[9, 100, 0, 90, 3, 0, 0]"
nine hundred and ninety four,994,"[9, 100, 0, 90, 4]",994.0,"[9, 100, 0, 90, 4, 0, 0]"
nine hundred and ninety five,995,"[9, 100, 0, 90, 5]",995.0,"[9, 100, 0, 90, 5, 0, 0]"
nine hundred and ninety six,996,"[9, 100, 0, 90, 6]",996.0,"[9, 100, 0, 90, 6, 0, 0]"
nine hundred and ninety seven,997,"[9, 100, 0, 90, 7]",997.0,"[9, 100, 0, 90, 7, 0, 0]"
nine hundred and ninety eight,998,"[9, 100, 0, 90, 8]",998.0,"[9, 100, 0, 90, 8, 0, 0]"
nine hundred and ninety nine,999,"[9, 100, 0, 90, 9]",999.0,"[9, 100, 0, 90, 9, 0, 0]"
one thousand,1000,"[1, 1000]",1000.0,"[1, 1000, 0, 0, 0, 0, 0]"
one thousand one,1001,"[1, 1000, 1]",1001.0,"[1, 1000, 1, 0, 0, 0, 0]"
one thousand two,1002,"[1, 1000, 2]",1002.0,"[1, 1000, 2, 0, 0, 0, 0]"
one thousand three,1003,"[1, 1000, 3]",1003.0,"[1, 1000, 3, 0, 0, 0, 0]"
one thousand four,1004,"[1, 1000, 4]",1004.0,"[1, 1000, 4, 0, 0, 0, 0]"
one thousand five,1005,"[1, 1000, 5]",1005.0,"[1, 1000, 5, 0, 0, 0, 0]"
one thousand six,1006,"[1, 1000, 6]",1006.0,"[1, 1000, 6, 0, 0, 0, 0]"
one thousand seven,1007,"[1, 1000, 7]",1007.0,"[1, 1000, 7, 0, 0, 0, 0]"
one thousand eight,1008,"[1, 1000, 8]",1008.0,"[1, 1000, 8, 0, 0, 0, 0]"
one thousand nine,1009,"[1, 1000, 9]",1009.0,"[1, 1000, 9, 0, 0, 0, 0]"
one thousand ten,1010,"[1, 1000, 10]",1010.0,"[1, 1000, 10, 0, 0, 0, 0]"
one thousand eleven,1011,"[1, 1000, 11]",1011.0,"[1, 1000, 11, 0, 0, 0, 0]"
one thousand twelve,1012,"[1, 1000, 12]",1012.0,"[1, 1000, 12, 0, 0, 0, 0]"
one thousand thirteen,1013,"[1, 1000, 13]",1013.0,"[1, 1000, 13, 0, 0, 0, 0]"
one thousand fourteen,1014,"[1, 1000, 14]",1014.0,"[1, 1000, 14, 0, 0, 0, 0]"
one thousand fifteen,1015,"[1, 1000, 15]",1015.0,"[1, 1000, 15, 0, 0, 0, 0]"
one thousand sixteen,1016,"[1, 1000, 16]",1016.0,"[1, 1000, 16, 0, 0, 0, 0]"
one thousand seventeen,1017,"[1, 1000, 17]",1017.0,"[1, 1000, 17, 0, 0, 0, 0]"
one thousand eighteen,1018,"[1, 1000, 18]",1018.0,"[1, 1000, 18, 0, 0, 0, 0]"
one thousand nineteen,1019,"[1, 1000, 19]",1019.0,"[1, 1000, 19, 0, 0, 0, 0]"
one thousand twenty,1020,"[1, 1000, 20]",1020.0,"[1, 1000, 20, 0, 0, 0, 0]"
one thousand twenty one,1021,"[1, 1000, 20, 1]",1021.0,"[1, 1000, 20, 1, 0, 0, 0]"
one thousand twenty two,1022,"[1, 1000, 20, 2]",1022.0,"[1, 1000, 20, 2, 0, 0, 0]"
one thousand twenty three,1023,"[1, 1000, 20, 3]",1023.0,"[1, 1000, 20, 3, 0, 0, 0]"
one thousand twenty four,1024,"[1, 1000, 20, 4]",1024.0,"[1, 1000, 20, 4, 0, 0, 0]"
one thousand twenty five,1025,"[1, 1000, 20, 5]",1025.0,"[1, 1000, 20, 5, 0, 0, 0]"
one thousand twenty six,1026,"[1, 1000, 20, 6]",1026.0,"[1, 1000, 20, 6, 0, 0, 0]"
one thousand twenty seven,1027,"[1, 1000, 20, 7]",1027.0,"[1, 1000, 20, 7, 0, 0, 0]"
one thousand twenty eight,1028,"[1, 1000, 20, 8]",1028.0,"[1, 1000, 20, 8, 0, 0, 0]"
one thousand twenty nine,1029,"[1, 1000, 20, 9]",1029.0,"[1, 1000, 20, 9, 0, 0, 0]"
one thousand thirty,1030,"[1, 1000, 30]",1030.0,"[1, 1000, 30, 0, 0, 0, 0]"
one thousand thirty one,1031,"[1, 1000, 30, 1]",1031.0,"[1, 1000, 30, 1, 0, 0, 0]"
one thousand thirty two,1032,"[1, 1000, 30, 2]",1032.0,"[1, 1000, 30, 2, 0, 0, 0]"
one thousand thirty three,1033,"[1, 1000, 30, 3]",1033.0,"[1, 1000, 30, 3, 0, 0, 0]"
one thousand thirty four,1034,"[1, 1000, 30, 4]",1034.0,"[1, 1000, 30, 4, 0, 0, 0]"
one thousand thirty five,1035,"[1, 1000, 30, 5]",1035.0,"[1, 1000, 30, 5, 0, 0, 0]"
one thousand thirty six,1036,"[1, 1000, 30, 6]",1036.0,"[1, 1000, 30, 6, 0, 0, 0]"
one thousand thirty seven,1037,"[1, 1000, 30, 7]",1037.0,"[1, 1000, 30, 7, 0, 0, 0]"
one thousand thirty eight,1038,"[1, 1000, 30, 8]",1038.0,"[1, 1000, 30, 8, 0, 0, 0]"
one thousand thirty nine,1039,"[1, 1000, 30, 9]",1039.0,"[1, 1000, 30, 9, 0, 0, 0]"
one thousand forty,1040,"[1, 1000, 40]",1040.0,"[1, 1000, 40, 0, 0, 0, 0]"
one thousand forty one,1041,"[1, 1000, 40, 1]",1041.0,"[1, 1000, 40, 1, 0, 0, 0]"
one thousand forty two,1042,"[1, 1000, 40, 2]",1042.0,"[1, 1000, 40, 2, 0, 0, 0]"
one thousand forty three,1043,"[1, 1000, 40, 3]",1043.0,"[1, 1000, 40, 3, 0, 0, 0]"
one thousand forty four,1044,"[1, 1000, 40, 4]",1044.0,"[1, 1000, 40, 4, 0, 0, 0]"
one thousand forty five,1045,"[1, 1000, 40, 5]",1045.0,"[1, 1000, 40, 5, 0, 0, 0]"
one thousand forty six,1046,"[1, 1000, 40, 6]",1046.0,"[1, 1000, 40, 6, 0, 0, 0]"
one thousand forty seven,1047,"[1, 1000, 40, 7]",1047.0,"[1, 1000, 40, 7, 0, 0, 0]"
one thousand forty eight,1048,"[1, 1000, 40, 8]",1048.0,"[1, 1000, 40, 8, 0, 0, 0]"
one thousand forty nine,1049,"[1, 1000, 40, 9]",1049.0,"[1, 1000, 40, 9, 0, 0, 0]"
one thousand fifty,1050,"[1, 1000, 50]",1050.0,"[1, 1000, 50, 0, 0, 0, 0]"
one thousand fifty one,1051,"[1, 1000, 50, 1]",1051.0,"[1, 1000, 50, 1, 0, 0, 0]"
one thousand fifty two,1052,"[1, 1000, 50, 2]",1052.0,"[1, 1000, 50, 2, 0, 0, 0]"
one thousand fifty three,1053,"[1, 1000, 50, 3]",1053.0,"[1, 1000, 50, 3, 0, 0, 0]"
one thousand fifty four,1054,"[1, 1000, 50, 4]",1054.0,"[1, 1000, 50, 4, 0, 0, 0]"
one thousand fifty five,1055,"[1, 1000, 50, 5]",1055.0,"[1, 1000, 50, 5, 0, 0, 0]"
one thousand fifty six,1056,"[1, 1000, 50, 6]",1056.0,"[1, 1000, 50, 6, 0, 0, 0]"
one thousand fifty seven,1057,"[1, 1000, 50, 7]",1057.0,"[1, 1000, 50, 7, 0, 0, 0]"
one thousand fifty eight,1058,"[1, 1000, 50, 8]",1058.0,"[1, 1000, 50, 8, 0, 0, 0]"
one thousand fifty nine,1059,"[1, 1000, 50, 9]",1059.0,"[1, 1000, 50, 9, 0, 0, 0]"
one thousand sixty,1060,"[1, 1000, 60]",1060.0,"[1, 1000, 60, 0, 0, 0, 0]"
one thousand sixty one,1061,"[1, 1000, 60, 1]",1061.0,"[1, 1000, 60, 1, 0, 0, 0]"
one thousand sixty two,1062,"[1, 1000, 60, 2]",1062.0,"[1, 1000, 60, 2, 0, 0, 0]"
one thousand sixty three,1063,"[1, 1000, 60, 3]",1063.0,"[1, 1000, 60, 3, 0, 0, 0]"
one thousand sixty four,1064,"[1, 1000, 60, 4]",1064.0,"[1, 1000, 60, 4, 0, 0, 0]"
one thousand sixty five,1065,"[1, 1000, 60, 5]",1065.0,"[1, 1000, 60, 5, 0, 0, 0]"
one thousand sixty six,1066,"[1, 1000, 60, 6]",1066.0,"[1, 1000, 60, 6, 0, 0, 0]"
one thousand sixty seven,1067,"[1, 1000, 60, 7]",1067.0,"[1, 1000, 60, 7, 0, 0, 0]"
one thousand sixty eight,1068,"[1, 1000, 60, 8]",1068.0,"[1, 1000, 60, 8, 0, 0, 0]"
one thousand sixty nine,1069,"[1, 1000, 60, 9]",1069.0,"[1, 1000, 60, 9, 0, 0, 0]"
one thousand seventy,1070,"[1, 1000, 70]",1070.0,"[1, 1000, 70, 0, 0, 0, 0]"
one thousand seventy one,1071,"[1, 1000, 70, 1]",1071.0,"[1, 1000, 70, 1, 0, 0, 0]"
one thousand seventy two,1072,"[1, 1000, 70, 2]",1072.0,"[1, 1000, 70, 2, 0, 0, 0]"
one thousand seventy three,1073,"[1, 1000, 70, 3]",1073.0,"[1, 1000, 70, 3, 0, 0, 0]"
one thousand seventy four,1074,"[1, 1000, 70, 4]",1074.0,"[1, 1000, 70, 4, 0, 0, 0]"
one thousand seventy five,1075,"[1, 1000, 70, 5]",1075.0,"[1, 1000, 70, 5, 0, 0, 0]"
one thousand seventy six,1076,"[1, 1000, 70, 6]",1076.0,"[1, 1000, 70, 6, 0, 0, 0]"
one thousand seventy seven,1077,"[1, 1000, 70, 7]",1077.0,"[1, 1000, 70, 7, 0, 0, 0]"
one thousand seventy eight,1078,"[1, 1000, 70, 8]",1078.0,"[1, 1000, 70, 8, 0, 0, 0]"
one thousand seventy nine,1079,"[1, 1000, 70, 9]",1079.0,"[1, 1000, 70, 9, 0, 0, 0]"
one thousand eighty,1080,"[1, 1000, 80]",1080.0,"[1, 1000, 80, 0, 0, 0, 0]"
one thousand eighty one,1081,"[1, 1000, 80, 1]",1081.0,"[1, 1000, 80, 1, 0, 0, 0]"
one thousand eighty two,1082,"[1, 1000, 80, 2]",1082.0,"[1, 1000, 80, 2, 0, 0, 0]"
one thousand eighty three,1083,"[1, 1000, 80, 3]",1083.0,"[1, 1000, 80, 3, 0, 0, 0]"
one thousand eighty four,1084,"[1, 1000, 80, 4]",1084.0,"[1, 1000, 80, 4, 0, 0, 0]"
one thousand eighty five,1085,"[1, 1000, 80, 5]",1085.0,"[1, 1000, 80, 5, 0, 0, 0]"
one thousand eighty six,1086,"[1, 1000, 80, 6]",1086.0,"[1, 1000, 80, 6, 0, 0, 0]"
one thousand eighty seven,1087,"[1, 1000, 80, 7]",1087.0,"[1, 1000, 80, 7, 0, 0, 0]"
one thousand eighty eight,1088,"[1, 1000, 80, 8]",1088.0,"[1, 1000, 80, 8, 0, 0, 0]"
one thousand eighty nine,1089,"[1, 1000, 80, 9]",1089.0,"[1, 1000, 80, 9, 0, 0, 0]"
one thousand ninety,1090,"[1, 1000, 90]",1090.0,"[1, 1000, 90, 0, 0, 0, 0]"
one thousand ninety one,1091,"[1, 1000, 90, 1]",1091.0,"[1, 1000, 90, 1, 0, 0, 0]"
one thousand ninety two,1092,"[1, 1000, 90, 2]",1092.0,"[1, 1000, 90, 2, 0, 0, 0]"
one thousand ninety three,1093,"[1, 1000, 90, 3]",1093.0,"[1, 1000, 90, 3, 0, 0, 0]"
one thousand ninety four,1094,"[1, 1000, 90, 4]",1094.0,"[1, 1000, 90, 4, 0, 0, 0]"
